Name,Handed,IP,SO,R,HR,BB,HBP,BK,WP
Gerrit Cole,RIGHT,200.2,257,81,33,50,2,2,2
Jameson Taillon,RIGHT,177.1,151,78,26,32,5,0,3
Nestor Cortes,LEFT,158.1,163,44,16,38,2,0,1
Jordan Montgomery,LEFT,114.2,97,48,15,23,7,0,3
Luis Severino,RIGHT,102,112,37,14,30,4,0,1
Domingo GermÃ¡n,RIGHT,72.1,58,31,11,19,4,1,0
Clay Holmes,RIGHT,63.2,65,21,2,20,9,0,1
Lucas Luetge,LEFT,57.1,60,19,4,17,4,0,1
Wandy Peralta,LEFT,56.1,47,19,2,17,1,1,2
Jonathan LoÃ¡isiga,RIGHT,48,37,25,3,19,0,0,0
Aroldis Chapman,LEFT,36.1,43,18,4,28,1,0,6
Clarke Schmidt,RIGHT,57.2,56,23,5,23,2,0,0
Michael King,RIGHT,51,66,15,3,16,0,0,2
Ron Marinaccio,RIGHT,44,56,12,2,24,6,0,5
Frankie Montas,RIGHT,39.2,33,28,6,15,5,0,3
Miguel Castro,RIGHT,29,31,16,2,15,4,0,2
Albert Abreu,RIGHT,25.2,26,10,2,6,1,0,5
JP Sears,LEFT,22,15,5,1,5,1,0,0
Lou Trivino,RIGHT,21.2,22,6,1,10,2,0,1
Chad Green,RIGHT,15,16,6,1,5,0,0,0
Scott Effross,RIGHT,12.2,12,4,1,4,1,0,0
Greg Weissert,RIGHT,11.1,11,7,1,5,2,1,0
Ryan Weber,RIGHT,10.2,3,1,1,1,0,0,0
Manny Banuelos,LEFT,8.1,8,2,0,3,0,0,0
Chi Chi GonzÃ¡lez,RIGHT,4.2,3,1,0,3,0,0,0
Luis Gil,RIGHT,4,5,4,0,2,0,0,1
David McKay,RIGHT,2,1,0,0,2,0,0,0
Jacob Barnes,RIGHT,1.2,2,0,0,0,1,0,0
Luke Bard,RIGHT,1,0,0,0,0,0,0,0
Shane Greene,RIGHT,1,1,2,1,1,0,0,0
Zack Britton,LEFT,0.2,1,1,0,6,0,0,1
Anthony Banda,LEFT,0.2,1,3,0,5,1,0,0
Marwin Gonzalez,RIGHT,0.1,0,0,0,0,0,0,0
Team Totals,RIGHT,1451.2,1459,567,157,444,65,5,40
Rank in 15 AL teams,RIGHT,2,2,2,2,5,,,
